"year","month","mo_yr","cmip_projection","weighted_mean_pr_mm","stdev_pr_mm","weighted_mean_tasmin_degC","stdev_tasmin_degC","weighted_mean_tasmax_degC","stdev_tasmax_degC"
"1954","10","10-1954","hadgem2-es.1.rcp45",0.958548426628113,0.00547892181202769,2.829674243927,0.0978418067097664,13.474268913269,0.0633129179477692
"1954","11","11-1954","hadgem2-es.1.rcp45",1.57497990131378,0.0287755597382784,-4.27851104736328,0.0777714401483536,5.50416374206543,0.0707223638892174
"1954","12","12-1954","hadgem2-es.1.rcp45",4.70924520492554,0.101911060512066,-14.6181859970093,0.0957556217908859,-5.04096984863281,0.0831384360790253
"1955","01","01-1955","hadgem2-es.1.rcp45",2.78630256652832,0.0512950532138348,-7.85327959060669,0.104719460010529,1.41111123561859,0.0902709141373634
"1955","02","02-1955","hadgem2-es.1.rcp45",1.42085933685303,0.0207034461200237,-10.9002647399902,0.111873053014278,-0.294733643531799,0.0749475955963135
"1955","03","03-1955","hadgem2-es.1.rcp45",4.03071451187134,0.114158660173416,-4.85919094085693,0.0788175463676453,4.54815769195557,0.0732622519135475
"1955","04","04-1955","hadgem2-es.1.rcp45",2.56347942352295,0.0611056201159954,-0.757379770278931,0.0669824182987213,10.0988616943359,0.106659196317196
"1955","05","05-1955","hadgem2-es.1.rcp45",1.68839001655579,0.0233945529907942,7.0609564781189,0.0839725732803345,20.2082996368408,0.194436877965927
"1955","06","06-1955","hadgem2-es.1.rcp45",1.46554982662201,0.0356803983449936,10.3267488479614,0.0695751309394836,24.1970500946045,0.154539376497269
"1955","07","07-1955","hadgem2-es.1.rcp45",2.61888098716736,0.0263442974537611,13.7876234054565,0.061780784279108,27.5008010864258,0.173776626586914
"1955","08","08-1955","hadgem2-es.1.rcp45",1.8935741186142,0.0264936611056328,12.1565990447998,0.0710883811116219,25.6151428222656,0.108843572437763
"1955","09","09-1955","hadgem2-es.1.rcp45",2.02253365516663,0.00561849446967244,6.22756195068359,0.108915872871876,18.6143226623535,0.0618375167250633
"1955","10","10-1955","hadgem2-es.1.rcp45",4.3034610748291,0.0797021090984344,3.03827667236328,0.095721647143364,12.3791580200195,0.0610809363424778
"1955","11","11-1955","hadgem2-es.1.rcp45",5.13724279403687,0.0989826321601868,-0.708334445953369,0.0803380310535431,6.67165040969849,0.0769743248820305
"1955","12","12-1955","hadgem2-es.1.rcp45",4.77794790267944,0.0846107080578804,-6.97535800933838,0.0906041041016579,1.8636486530304,0.0795551091432571
"1956","01","01-1956","hadgem2-es.1.rcp45",3.05463147163391,0.11032447963953,-14.0087480545044,0.122450642287731,-3.75315022468567,0.0871264934539795
"1956","02","02-1956","hadgem2-es.1.rcp45",2.18123841285706,0.0738145262002945,-13.7006635665894,0.0902540311217308,-2.28920316696167,0.0731328278779984
"1956","03","03-1956","hadgem2-es.1.rcp45",0.843119025230408,0.0202820543199778,-3.9048273563385,0.0721308365464211,5.5493221282959,0.100794352591038
"1956","04","04-1956","hadgem2-es.1.rcp45",1.91028392314911,0.0721564367413521,0.370440363883972,0.0695419237017632,11.6883516311646,0.124041967093945
"1956","05","05-1956","hadgem2-es.1.rcp45",3.07511043548584,0.0744891241192818,5.16209983825684,0.07569719851017,17.1122913360596,0.181755140423775
"1956","06","06-1956","hadgem2-es.1.rcp45",2.10940551757812,0.0130276922136545,10.2799234390259,0.0846624448895454,23.6061344146729,0.184381946921349
"1956","07","07-1956","hadgem2-es.1.rcp45",2.87998461723328,0.0253620948642492,12.5107755661011,0.0625655055046082,24.6303367614746,0.179993987083435
"1956","08","08-1956","hadgem2-es.1.rcp45",2.77840423583984,0.0544642470777035,12.6516780853271,0.0608616434037685,25.2188205718994,0.140090271830559
"1956","09","09-1956","hadgem2-es.1.rcp45",2.14070916175842,0.0139541933313012,8.33732795715332,0.0891871154308319,20.8910350799561,0.0686711147427559
